cluster,intent,primary_query,supporting_queries,target_url,page_role,primary_conversion
Build,Informational-commercial,DIY hydroponic tower system,"how to build a hydroponic tower; beginner hydroponic tower guide; outdoor hydroponic tower",https://www.hydropip.com/,Explain the complete offer and prove it is a real build,Open How It Works
Build,Informational,how to build a hydroponic tower,"hydroponic tower plans; DIY tower instructions; IBC hydroponic tower",https://hydropip-pip-api.onrender.com/field-guide,Give the complete free method,Start Track My Build
Food,Informational,grow fresh vegetables at home,"grow greens at home; backyard food growing; hydroponic vegetables at home",https://hydropip-pip-api.onrender.com/how-it-works,Show realistic household fresh-food value,Create free account
Cost,Commercial investigation,hydroponic tower cost,"DIY hydroponic system cost; affordable hydroponic tower; four tower hydroponic cost",https://hydropip-pip-api.onrender.com/track-start,Estimate and introduce the member checklist,Create free account
Parts,Transactional,hydroponic tower parts list,"hydroponic tower supplies; IBC hydroponic parts; tower planter parts",https://hydropip-pip-api.onrender.com/track-start,Introduce quantities and purchase workflow,Create free account
Space,Informational,how much space does a hydroponic tower need,"hydroponic tower footprint; backyard tower layout; tower walkway space",https://hydropip-pip-api.onrender.com/how-it-works,Answer placement and fit questions,Ask Pip about my space
Placement,Informational,where to put a hydroponic tower,"hydroponic tower sunlight; outdoor hydroponic placement; tower wind protection",https://hydropip-pip-api.onrender.com/how-it-works,Explain light access drainage wind and utilities,Ask Pip with a photo
Crops,Informational,best vegetables for hydroponic towers,"hydroponic leafy greens; hydroponic herbs; tower garden crops",https://hydropip-pip-api.onrender.com/field-guide,Explain crop fit and realistic expectations,Ask Pip about crops
Beginner,Informational,hydroponics for beginners,"beginner hydroponic system; easy backyard hydroponics; first hydroponic build",https://hydropip-pip-api.onrender.com/field-guide,Reduce uncertainty with a clear sequence,Create free account
Planning,Commercial investigation,hydroponic grow planner,"hydroponic schedule; crop reminders; hydroponic grow log",https://www.hydropip.com/pip?pro=1,Explain saved planning and grow memory,Start Pip Pro
